country,memberships
http://www.wikidata.org/entity/Q414,United Nations | Union of South American Nations | Q4264 | UNESCO | World Health Organization | World Trade Organization | Interpol | Universal Postal Union | G20 | Organization of American States | World Meteorological Organization | Antarctic Treaty System | Treaty on the Non-Proliferation of Nuclear Weapons | Central American Bank for Economic Integration | International Bank for Reconstruction and Development | International Hydrographic Organization | ABC nations | African Development Bank | International Telecommunication Union | International Renewable Energy Agency | Andean Community | World Customs Organization | International Finance Corporation | Australia Group | International Holocaust Remembrance Alliance | International Development Association | Organisation for the Prohibition of Chemical Weapons | International Centre for Settlement of Investment Disputes | Multilateral Investment Guarantee Agency | Missile Technology Control Regime | Nuclear Suppliers Group | Agency for the Prohibition of Nuclear Weapons in Latin America and the Caribbean | Group on Earth Observations
http://www.wikidata.org/entity/Q16,United Nations | NATO | Commonwealth of Nations | UNESCO | World Health Organization | World Trade Organization | Interpol | Universal Postal Union | G20 | G8 | League of Nations | Organization for Economic Cooperation and Development | Organization for Security and Co-operation in Europe | Organization of American States | Organisation internationale de la Francophonie | World Meteorological Organization | Asia-Pacific Economic Cooperation | North American Free Trade Agreement | Treaty on the Non-Proliferation of Nuclear Weapons | Asian Development Bank | International Bank for Reconstruction and Development | International Hydrographic Organization | African Development Bank | International Telecommunication Union | World Customs Organization | International Finance Corporation | Arctic Council | Australia Group | International Holocaust Remembrance Alliance | International Energy Agency | International Development Association | Organisation for the Prohibition of Chemical Weapons | International Centre for Settlement of Investment Disputes | Multilateral Investment Guarantee Agency | Missile Technology Control Regime | Nuclear Suppliers Group | G7 | Treaty on Open Skies | ABCANZ Armies | Caribbean Development Bank | Movement Coordination Centre Europe | AUSCANNZUKUS | Air Force Interoperability Council | Combined Communications-Electronics Board | Group on Earth Observations | The Technical Cooperation Program | ASEAN Regional Forum | Five Eyes
http://www.wikidata.org/entity/Q17,United Nations | UNESCO | World Health Organization | World Trade Organization | Interpol | Universal Postal Union | G20 | G8 | League of Nations | Organization for Economic Cooperation and Development | Visa Waiver Program | World Meteorological Organization | Asia-Pacific Economic Cooperation | Antarctic Treaty System | Treaty on the Non-Proliferation of Nuclear Weapons | Asian Development Bank | International Bank for Reconstruction and Development | International Hydrographic Organization | African Development Bank | International Telecommunication Union | World Customs Organization | International Finance Corporation | Australia Group | International Energy Agency | International Development Association | Organisation for the Prohibition of Chemical Weapons | International Centre for Settlement of Investment Disputes | Multilateral Investment Guarantee Agency | Missile Technology Control Regime | Nuclear Suppliers Group | G7 | Group on Earth Observations | ASEAN Regional Forum
http://www.wikidata.org/entity/Q20,United Nations | NATO | UNESCO | World Health Organization | World Trade Organization | Interpol | Council of Europe | European Economic Area | Universal Postal Union | Organization for Economic Cooperation and Development | European Space Agency | Visa Waiver Program | Organization for Security and Co-operation in Europe | 1990 Schengen Convention | Nordic Council | European Free Trade Association | World Meteorological Organization | Treaty on the Non-Proliferation of Nuclear Weapons | Asian Development Bank | International Bank for Reconstruction and Development | International Hydrographic Organization | Bank for International Settlements | African Development Bank | International Telecommunication Union | World Customs Organization | EFTA Court | International Finance Corporation | Eurocontrol | Arctic Council | Australia Group | Council of the Baltic Sea States | International Holocaust Remembrance Alliance | International Energy Agency | International Development Association | Organisation for the Prohibition of Chemical Weapons | International Centre for Settlement of Investment Disputes | Multilateral Investment Guarantee Agency | Missile Technology Control Regime | CGIAR | European Payments Union | Nuclear Suppliers Group | Global Biodiversity Information Facility | Strategic Airlift Capability | Treaty on Open Skies | Schengen Area | Nordic Battle Group | Movement Coordination Centre Europe | Barents Euro-Arctic Council | Group on Earth Observations | Q131720477
http://www.wikidata.org/entity/Q419,United Nations | Union of South American Nations | UNESCO | World Health Organization | World Trade Organization | Interpol | Universal Postal Union | Organization of American States | World Meteorological Organization | Asia-Pacific Economic Cooperation | Treaty on the Non-Proliferation of Nuclear Weapons | International Bank for Reconstruction and Development | International Hydrographic Organization | International Telecommunication Union | United Nations–African Union Hybrid Operation in Darfur | Andean Community | World Customs Organization | International Finance Corporation | International Development Association | Organisation for the Prohibition of Chemical Weapons | International Centre for Settlement of Investment Disputes | Multilateral Investment Guarantee Agency | Agency for the Prohibition of Nuclear Weapons in Latin America and the Caribbean | Group on Earth Observations
http://www.wikidata.org/entity/Q423,United Nations | International Red Cross and Red Crescent Movement | UNESCO | World Health Organization | International Organization for Standardization | Universal Postal Union | International Olympic Committee | UN Tourism | Food and Agriculture Organization | Non-Aligned Movement | International Civil Aviation Organization | World Meteorological Organization | Interparliamentary Union | World Intellectual Property Organization | UN Trade and Development | states with nuclear weapons | International Maritime Organization | International Hydrographic Organization | International Telecommunication Union | United Nations Industrial Development Organization | Group of 77 | International Fund for Agricultural Development | World Federation of Trade Unions | ASEAN Regional Forum | International Telecommunications Satellite Organization
http://www.wikidata.org/entity/Q424,United Nations | Association of Southeast Asian Nations | UNESCO | World Health Organization | World Trade Organization | Interpol | Universal Postal Union | Organisation internationale de la Francophonie | World Meteorological Organization | Treaty on the Non-Proliferation of Nuclear Weapons | Asian Development Bank | International Bank for Reconstruction and Development | International Telecommunication Union | United Nations–African Union Hybrid Operation in Darfur | World Customs Organization | International Finance Corporation | International Development Association | Organisation for the Prohibition of Chemical Weapons | International Centre for Settlement of Investment Disputes | Multilateral Investment Guarantee Agency | Group on Earth Observations | ASEAN Regional Forum
http://www.wikidata.org/entity/Q574,"United Nations | Association of Southeast Asian Nations | UNESCO | World Health Organization | World Trade Organization | Interpol | Universal Postal Union | World Meteorological Organization | Community of Portuguese Language Countries | Treaty on the Non-Proliferation of Nuclear Weapons | Asian Development Bank | International Bank for Reconstruction and Development | Organisation of African, Caribbean and Pacific States | International Telecommunication Union | Alliance of Small Island States | World Customs Organization | International Finance Corporation | International Development Association | Organisation for the Prohibition of Chemical Weapons | International Centre for Settlement of Investment Disputes | Multilateral Investment Guarantee Agency | g7+ | ASEAN Regional Forum"
http://www.wikidata.org/entity/Q657,"United Nations | African Union | UNESCO | World Health Organization | World Trade Organization | Interpol | Universal Postal Union | Organisation of Islamic Cooperation | Organisation internationale de la Francophonie | International Civil Defence Organisation | World Meteorological Organization | Treaty on the Non-Proliferation of Nuclear Weapons | Economic Community of Central African States | Bank of Central African States | International Bank for Reconstruction and Development | Organisation of African, Caribbean and Pacific States | African Development Bank | International Telecommunication Union | World Customs Organization | International Finance Corporation | International Development Association | Organisation for the Prohibition of Chemical Weapons | International Centre for Settlement of Investment Disputes | Multilateral Investment Guarantee Agency | Economic and Monetary Community of Central Africa | OHADA | Lake Chad Basin Commission | AFRISTAT | Multinational Joint Task Force | African Continental Free Trade Area"
http://www.wikidata.org/entity/Q664,United Nations | Commonwealth of Nations | UNESCO | World Health Organization | World Trade Organization | Interpol | Universal Postal Union | Organization for Economic Cooperation and Development | Visa Waiver Program | World Meteorological Organization | Asia-Pacific Economic Cooperation | Treaty on the Non-Proliferation of Nuclear Weapons | Asian Development Bank | International Bank for Reconstruction and Development | International Hydrographic Organization | Southeast Asia Treaty Organization | ANZUS | International Telecommunication Union | World Customs Organization | International Finance Corporation | Australia Group | International Energy Agency | International Development Association | Organisation for the Prohibition of Chemical Weapons | International Centre for Settlement of Investment Disputes | Multilateral Investment Guarantee Agency | Missile Technology Control Regime | Nuclear Suppliers Group | ANZUK | ABCANZ Armies | AUSCANNZUKUS | Air Force Interoperability Council | Combined Communications-Electronics Board | Group on Earth Observations | The Technical Cooperation Program | ASEAN Regional Forum | Five Eyes
