country,countryLabel,iso2,iso3,area,population,life_expectancy,hdi,gdp_nominal,gdp_nominal_year,inception,driving_side_label,continents,governments,languages,currencies,border_count,memberships
http://www.wikidata.org/entity/Q215,Slovenia,SI,SVN,20271,2066880,81,0.918,62117768015,2022-01-01 00:00:00+00:00,1991-06-25T00:00:00Z,right,Europe,democratic republic,Slovene,euro,4,European Union | United Nations | NATO | UNESCO | World Health Organization | World Trade Organization | Interpol | Council of Europe | Universal Postal Union | Organization for Economic Cooperation and Development | Visa Waiver Program | Organization for Security and Co-operation in Europe | World Meteorological Organization | Treaty on the Non-Proliferation of Nuclear Weapons | International Bank for Reconstruction and Development | International Hydrographic Organization | International Telecommunication Union | International Centre for Migration Policy Development | World Customs Organization | International Finance Corporation | Eurocontrol | Australia Group | International Holocaust Remembrance Alliance | International Development Association | Organisation for the Prohibition of Chemical Weapons | International Centre for Settlement of Investment Disputes | Multilateral Investment Guarantee Agency | Nuclear Suppliers Group | Strategic Airlift Capability | Treaty on Open Skies | Schengen Area | Movement Coordination Centre Europe | Group on Earth Observations
http://www.wikidata.org/entity/Q685,Solomon Islands,SB,SLB,28400,611343,70.726,0.564,1595710784,2022-01-01 00:00:00+00:00,1978-01-01T00:00:00Z,left,Insular Oceania | Oceania,,English,Solomon Islands dollar,5,"United Nations | Commonwealth of Nations | UNESCO | World Health Organization | World Trade Organization | Interpol | Universal Postal Union | World Meteorological Organization | Treaty on the Non-Proliferation of Nuclear Weapons | Asian Development Bank | International Bank for Reconstruction and Development | Organisation of African, Caribbean and Pacific States | International Telecommunication Union | Alliance of Small Island States | World Customs Organization | International Finance Corporation | International Development Association | Organisation for the Prohibition of Chemical Weapons | International Centre for Settlement of Investment Disputes | Multilateral Investment Guarantee Agency"
http://www.wikidata.org/entity/Q1045,Somalia,SO,SOM,637657,11031386,56.293,,8126105600,2022-01-01 00:00:00+00:00,1960-01-01T00:00:00Z,right,Africa,federal republic,Somali | Arabic,Somali shilling,3,"United Nations | African Union | League of Arab States | UNESCO | World Health Organization | Interpol | Universal Postal Union | Organisation of Islamic Cooperation | World Meteorological Organization | Treaty on the Non-Proliferation of Nuclear Weapons | International Bank for Reconstruction and Development | Organisation of African, Caribbean and Pacific States | African Development Bank | International Telecommunication Union | World Customs Organization | Arab Monetary Fund | International Finance Corporation | International Development Association | Organisation for the Prohibition of Chemical Weapons | International Centre for Settlement of Investment Disputes | Arab Fund for Economic and Social Development | Group on Earth Observations | African Continental Free Trade Area"
http://www.wikidata.org/entity/Q258,South Africa,ZA,ZAF,1221037,62027503,62.774,0.713,405869718462,2022-01-01 00:00:00+00:00,1910-05-31T00:00:00Z,left,Africa,apartheid | representative democracy | parliamentary republic,English | Zulu | Xhosa | Afrikaans | Venda | Northern Sotho | Swazi | Tswana | Tsonga | Sesotho | Southern Ndebele | South African Sign Language,rand,6,"United Nations | African Union | Commonwealth of Nations | UNESCO | World Health Organization | World Trade Organization | Interpol | Universal Postal Union | G20 | International Civil Defence Organisation | World Meteorological Organization | Treaty on the Non-Proliferation of Nuclear Weapons | International Bank for Reconstruction and Development | International Hydrographic Organization | BRICS | Organisation of African, Caribbean and Pacific States | African Development Bank | International Telecommunication Union | United Nations–African Union Hybrid Operation in Darfur | World Customs Organization | International Finance Corporation | Southern African Development Community | International Development Association | Organisation for the Prohibition of Chemical Weapons | Multilateral Investment Guarantee Agency | Missile Technology Control Regime | Southern African Customs Union | Nuclear Suppliers Group | Group on Earth Observations | African Continental Free Trade Area"
http://www.wikidata.org/entity/Q884,South Korea,KR,KOR,100295,51466201,80.11707,0.925,1665245538595,2022-01-01 00:00:00+00:00,1948-08-15T00:00:00Z,right,Asia,republic | presidential system,Korean | Korean Sign Language,won | Korean mun,3,United Nations | UNESCO | World Health Organization | World Trade Organization | Interpol | Universal Postal Union | G20 | Organization for Economic Cooperation and Development | Visa Waiver Program | International Civil Defence Organisation | World Meteorological Organization | Asia-Pacific Economic Cooperation | Antarctic Treaty System | Treaty on the Non-Proliferation of Nuclear Weapons | Asian Development Bank | International Bank for Reconstruction and Development | International Hydrographic Organization | African Development Bank | United Nations–African Union Hybrid Operation in Darfur | World Customs Organization | International Finance Corporation | Australia Group | International Energy Agency | International Development Association | Organisation for the Prohibition of Chemical Weapons | International Centre for Settlement of Investment Disputes | Multilateral Investment Guarantee Agency | Missile Technology Control Regime | Nuclear Suppliers Group | Group on Earth Observations | ASEAN Regional Forum
http://www.wikidata.org/entity/Q958,South Sudan,SS,SSD,644329,12575714,56.811,0.385,,,2011-07-09T00:00:00Z,right,Africa,federal republic,English,South Sudanese pound,7,United Nations | African Union | UNESCO | World Health Organization | Interpol | Universal Postal Union | International Civil Defence Organisation | World Meteorological Organization | International Bank for Reconstruction and Development | African Development Bank | International Telecommunication Union | World Customs Organization | International Finance Corporation | International Development Association | International Centre for Settlement of Investment Disputes | Multilateral Investment Guarantee Agency | African Continental Free Trade Area
http://www.wikidata.org/entity/Q29,Spain,ES,ESP,505990,48592909,83,0.905,1397509272054,2022-01-01 00:00:00+00:00,1812-03-19T00:00:00Z,right,Europe,parliamentary monarchy,Spanish,euro,5,European Union | United Nations | NATO | UNESCO | World Health Organization | World Trade Organization | Interpol | Council of Europe | Universal Postal Union | United Nations Security Council | League of Nations | Organization for Economic Cooperation and Development | European Space Agency | Visa Waiver Program | Organization for Security and Co-operation in Europe | European Air Transport Command | European Southern Observatory | World Meteorological Organization | Treaty on the Non-Proliferation of Nuclear Weapons | Asian Development Bank | Central American Bank for Economic Integration | International Bank for Reconstruction and Development | International Hydrographic Organization | African Development Bank | International Telecommunication Union | Organization of Ibero-American States | Organisation for Joint Armament Cooperation | World Customs Organization | International Finance Corporation | Eurocontrol | Australia Group | International Holocaust Remembrance Alliance | International Energy Agency | International Development Association | Organisation for the Prohibition of Chemical Weapons | International Centre for Settlement of Investment Disputes | Multilateral Investment Guarantee Agency | Missile Technology Control Regime | Nuclear Suppliers Group | Pyrenees–Mediterranean Euroregion | Treaty on Open Skies | Schengen Area | Movement Coordination Centre Europe | Group on Earth Observations | member states of the Organization of Ibero-American States | Q131720477
http://www.wikidata.org/entity/Q854,Sri Lanka,LK,LKA,65610,21444000,77.75,0.782,74403578363,2022-01-01 00:00:00+00:00,1972-05-22T00:00:00Z,left,Asia,republic,Tamil | Sinhala,Sri Lankan rupee,1,United Nations | Commonwealth of Nations | UNESCO | World Health Organization | World Trade Organization | Interpol | Universal Postal Union | World Meteorological Organization | Treaty on the Non-Proliferation of Nuclear Weapons | Asian Development Bank | International Bank for Reconstruction and Development | International Hydrographic Organization | International Telecommunication Union | World Customs Organization | International Finance Corporation | Bay of Bengal Initiative for Multi-Sectoral Technical and Economic Cooperation | International Development Association | Organisation for the Prohibition of Chemical Weapons | International Centre for Settlement of Investment Disputes | Multilateral Investment Guarantee Agency | ASEAN Regional Forum
http://www.wikidata.org/entity/Q1049,Sudan,SD,SDN,1886068,40533330,64.486,0.508,51662241775,2022-01-01 00:00:00+00:00,1956-01-01T00:00:00Z,right,Africa,federal republic,English | Arabic,Sudanese pound,12,"United Nations | African Union | League of Arab States | UNESCO | World Health Organization | Interpol | Universal Postal Union | Organisation of Islamic Cooperation | International Civil Defence Organisation | World Meteorological Organization | Treaty on the Non-Proliferation of Nuclear Weapons | International Bank for Reconstruction and Development | Organisation of African, Caribbean and Pacific States | African Development Bank | International Telecommunication Union | World Customs Organization | Arab Monetary Fund | International Finance Corporation | International Development Association | Organisation for the Prohibition of Chemical Weapons | International Centre for Settlement of Investment Disputes | Multilateral Investment Guarantee Agency | Arab Fund for Economic and Social Development | African Groundnut Council | Arab Bank for Economic Development in Africa | Group on Earth Observations | African Continental Free Trade Area"
http://www.wikidata.org/entity/Q730,Suriname,SR,SUR,163270,563402,70,0.73,3620655116,2022-01-01 00:00:00+00:00,1975-11-25T00:00:00Z,left,South America,republic,Dutch,Surinamese dollar,3,"United Nations | Union of South American Nations | UNESCO | World Health Organization | World Trade Organization | Interpol | Universal Postal Union | Organisation of Islamic Cooperation | Organization of American States | Dutch Language Union | World Meteorological Organization | Treaty on the Non-Proliferation of Nuclear Weapons | International Bank for Reconstruction and Development | Caribbean Community | International Hydrographic Organization | Organisation of African, Caribbean and Pacific States | International Telecommunication Union | Alliance of Small Island States | World Customs Organization | International Finance Corporation | Organisation for the Prohibition of Chemical Weapons | Multilateral Investment Guarantee Agency | Agency for the Prohibition of Nuclear Weapons in Latin America and the Caribbean | Caribbean Development Bank | Caribbean Disaster Emergency Management Agency"
