country,continents,governments,languages,currencies,border_count
http://www.wikidata.org/entity/Q790,North America,,French | Haitian Creole,gourde,3
http://www.wikidata.org/entity/Q792,North America,republic | presidential system | representative democracy,Spanish,United States dollar | Bitcoin,2
http://www.wikidata.org/entity/Q183,Europe,parliamentary republic | federal parliamentary republic | federation | republic,German,euro,9
http://www.wikidata.org/entity/Q184,Europe,republic | presidential system,Russian | Belarusian,Belarusian ruble,6
http://www.wikidata.org/entity/Q189,Europe,parliamentary republic,Icelandic,Icelandic króna,3
http://www.wikidata.org/entity/Q191,Europe,parliamentary republic,Estonian,euro,2
http://www.wikidata.org/entity/Q211,Europe,republic | parliamentary republic,Latvian,euro,5
http://www.wikidata.org/entity/Q212,Europe,semi-presidential system,Ukrainian,hryvnia,8
http://www.wikidata.org/entity/Q213,Europe,parliamentary republic,Czech,Czech koruna,4
http://www.wikidata.org/entity/Q214,Europe,parliamentary republic,Slovak,euro,5
http://www.wikidata.org/entity/Q215,Europe,democratic republic,Slovene,euro,4
http://www.wikidata.org/entity/Q217,Europe,parliamentary republic,Romanian,Moldovan leu,2
http://www.wikidata.org/entity/Q218,Europe,semi-presidential system,Romanian,Romanian Leu,5
http://www.wikidata.org/entity/Q219,Europe,parliamentary republic,Bulgarian,euro,6
http://www.wikidata.org/entity/Q221,Europe,parliamentary republic,Albanian | Macedonian,Macedonian denar,6
http://www.wikidata.org/entity/Q222,Europe,parliamentary system,Albanian,Albanian lek,6
http://www.wikidata.org/entity/Q224,Europe,republic,Croatian,euro,6
http://www.wikidata.org/entity/Q225,Europe,republic | federal republic,Croatian | Serbian | Bosnian,convertible mark,4
http://www.wikidata.org/entity/Q227,Asia,republic | semi-presidential system | unitary state,Azerbaijani | Azerbaijani Sign Language,Azerbaijani manat,5
http://www.wikidata.org/entity/Q228,Europe,parliamentary coprincipality,Catalan,euro,3
http://www.wikidata.org/entity/Q229,Europe,republic | presidential system,Turkish | Greek | Modern Greek,euro,6
http://www.wikidata.org/entity/Q230,Europe,semi-presidential system | unitary state | parliamentary republic,Abkhaz | Georgian,Georgian lari,4
http://www.wikidata.org/entity/Q232,Europe | Asia,presidential system,Russian | Kazakh,Kazakhstani tenge,5
http://www.wikidata.org/entity/Q233,Europe,parliamentary democracy,English | Maltese,euro,1
http://www.wikidata.org/entity/Q235,Europe,constitutional monarchy | hereditary monarchy,French,euro,1
http://www.wikidata.org/entity/Q236,Europe,republic,Montenegrin,euro,6
http://www.wikidata.org/entity/Q237,Europe,papacy,Latin | Italian,euro,2
http://www.wikidata.org/entity/Q238,Europe,diarchy | parliamentary republic,Italian,euro,2
http://www.wikidata.org/entity/Q241,North America,unitary state,Spanish,Cuban peso,2
http://www.wikidata.org/entity/Q242,North America,constitutional monarchy | parliamentary monarchy,English,Belize dollar,3
http://www.wikidata.org/entity/Q1016,Africa,republic,Arabic,Libyan dinar,7
http://www.wikidata.org/entity/Q1019,Africa,republic,French | Malagasy,ariary,4
http://www.wikidata.org/entity/Q1020,Africa,,English | Chewa | Tumbuka,Malawian kwacha,3
http://www.wikidata.org/entity/Q1025,Africa,,Arabic,Mauritanian ouguiya,4
http://www.wikidata.org/entity/Q1027,Africa,parliamentary republic,French | English,Mauritian rupee,3
http://www.wikidata.org/entity/Q1028,Africa,constitutional monarchy,Arabic | Standard Moroccan Tamazight,Moroccan dirham,4
http://www.wikidata.org/entity/Q1029,Africa,,Portuguese,Mozambican metical,7
http://www.wikidata.org/entity/Q1030,Africa,,English,rand | Namibian dollar,4
http://www.wikidata.org/entity/Q1032,Africa,,Hausa,West African CFA franc,8
http://www.wikidata.org/entity/Q1033,Africa,federal republic,English,naira,5
http://www.wikidata.org/entity/Q1036,Africa,presidential system,English | Swahili,Ugandan shilling,7
http://www.wikidata.org/entity/Q1037,Africa,semi-presidential system,French | English | Swahili | Kinyarwanda,Rwandan franc,4
http://www.wikidata.org/entity/Q1039,Africa,,Portuguese,São Tomé and Príncipe dobra,3
http://www.wikidata.org/entity/Q1041,Africa,presidential system,French | Wolof | Balanta | Badyara,West African CFA franc,6
http://www.wikidata.org/entity/Q1042,Africa,,French | English | Seychellois Creole,Seychellois rupee,5
http://www.wikidata.org/entity/Q1044,Africa,presidential system,English | Krio,leone,2
http://www.wikidata.org/entity/Q1045,Africa,federal republic,Somali | Arabic,Somali shilling,3
http://www.wikidata.org/entity/Q1049,Africa,federal republic,English | Arabic,Sudanese pound,12
http://www.wikidata.org/entity/Q1050,Africa,absolute monarchy,English | Swazi,lilangeni,2
http://www.wikidata.org/entity/Q29999,Europe,constitutional monarchy,Dutch,euro | United States dollar | Aruban florin | Caribbean guilder,5
http://www.wikidata.org/entity/Q244,North America,unitary state | parliamentary republic,English | Bajan Creole,Barbadian dollar,0
http://www.wikidata.org/entity/Q252,Asia,republic | presidential system,Indonesian,rupiah,10
http://www.wikidata.org/entity/Q963,Africa,parliamentary republic,English,Botswana pula,4
http://www.wikidata.org/entity/Q965,Africa,republic | military junta,Dioula | Bissa | Mooré,West African CFA franc,6
http://www.wikidata.org/entity/Q967,Africa,presidential system | representative democracy,French | English | Kirundi,Burundian franc,3
http://www.wikidata.org/entity/Q970,Africa,federal republic,French | Arabic | Comorian,Comorian franc,5
http://www.wikidata.org/entity/Q971,Africa,parliamentary republic,French,Central African CFA franc,5
http://www.wikidata.org/entity/Q974,Africa,republic,French,Congolese franc,11
http://www.wikidata.org/entity/Q977,Africa,,French | Arabic,Djiboutian franc,3
http://www.wikidata.org/entity/Q983,Africa,,French | Spanish | Portuguese,Central African CFA franc,3
http://www.wikidata.org/entity/Q986,Africa,,English | Arabic | Tigrinya,nakfa,4
http://www.wikidata.org/entity/Q1000,Africa,republic,French,Central African CFA franc,5
http://www.wikidata.org/entity/Q1005,Africa,republic,English,dalasi,1
http://www.wikidata.org/entity/Q1006,Africa,republic,French | languages of Guinea,Guinean franc,6
http://www.wikidata.org/entity/Q1007,Africa,,Portuguese,West African CFA franc,2
http://www.wikidata.org/entity/Q1008,Africa,republic,French,West African CFA franc,5
http://www.wikidata.org/entity/Q1009,Africa,republic,French | English,Central African CFA franc,6
http://www.wikidata.org/entity/Q1011,Africa,parliamentary republic,Portuguese | Cape Verdean Creole,Cape Verdean escudo,0
http://www.wikidata.org/entity/Q1013,Africa,constitutional monarchy,English | Sesotho,rand | loti,1
http://www.wikidata.org/entity/Q1014,Africa,republic | presidential system | constitutional republic | Herrenvolk democracy,English,Liberian dollar,3
http://www.wikidata.org/entity/Q889,Asia,unitary state | Emirate | islamic theocracy,Uzbek | Turkmen | Arabic | Balochi | Pashayi | Pashto | Nuristani | Dari | Pamir,afghani,6
http://www.wikidata.org/entity/Q902,Asia,Westminster system | parliamentary republic,Bangla,Bangladeshi taka,2
http://www.wikidata.org/entity/Q912,Africa,,Bambara | Fula | Senufo | Bozo | Maninka | Minyanka | Soninke | Kassonke | Hassaniya Arabic | Songhay | Dogon | Tamasheq | Bobo,West African CFA franc,7
http://www.wikidata.org/entity/Q916,Africa,republic | presidential system,Portuguese,kwanza,5
http://www.wikidata.org/entity/Q917,Asia,constitutional monarchy,Dzongkha,ngultrum,2
http://www.wikidata.org/entity/Q921,Asia,unitary state | absolute monarchy | Islamic state,British English | Malay,Brunei dollar,1
